name;description;price;quantityInStock
Luxury Watch;Elegant timepiece with stainless steel casing and leather strap, perfect for any occasion;299.99;50
Smartphone;Powerful smartphone with advanced camera features, high-resolution display, and long battery life;599.99;100
Designer Handbag;Chic handbag crafted from genuine leather with spacious compartments and stylish design;199.99;80
Wireless Headphones;Premium wireless headphones with noise-canceling technology and immersive sound experience;149.99;120
Portable Speaker;Compact portable speaker with Bluetooth connectivity, delivering rich audio for on-the-go entertainment;79.99;150
Professional Camera;High-performance DSLR camera with interchangeable lenses, ideal for photography enthusiasts;899.99;90
Electric Scooter;Foldable electric scooter with long-range battery and lightweight design for effortless commuting;349.99;110
Smart Thermostat;Intelligent thermostat that learns your preferences and adjusts the temperature for optimal comfort;129.99;200
High-Performance Laptop;Sleek laptop with powerful processors, vibrant display, and fast SSD storage for seamless multitasking;1299.99;70
Home Security Camera;Wireless security camera with motion detection, night vision, and two-way audio for enhanced home surveillance;149.99;180
Gourmet Coffee Maker;Automatic coffee maker with built-in grinder, customizable brewing options, and sleek stainless steel design;199.99;100
Fitness Tracker;Smart fitness tracker with heart rate monitoring, GPS tracking, and waterproof design for active lifestyles;79.99;120
Robot Vacuum Cleaner;Smart robot vacuum cleaner with advanced navigation, powerful suction, and app-controlled cleaning modes;299.99;85
Outdoor Grill;Durable outdoor grill with multiple burners, side shelves, and porcelain-coated grates for perfect BBQs every time;399.99;150
Wireless Gaming Mouse;Precision gaming mouse with customizable RGB lighting, programmable buttons, and ergonomic design for immersive gaming experiences;59.99;100
Electric Toothbrush;Sonic electric toothbrush with multiple brushing modes, timer, and UV sanitizer for superior dental care;89.99;65
Smart Home Hub;Centralized smart home hub that connects and controls all your smart devices from one intuitive interface;199.99;110
High-Speed Blender;Powerful blender with variable speed control, stainless steel blades, and BPA-free pitcher for smooth blending results;129.99;95
Outdoor Adventure Tent;Spacious camping tent with weatherproof construction, easy setup, and durable materials for outdoor adventures;249.99;130
Wireless Charging Pad;Sleek wireless charging pad compatible with Qi-enabled devices, providing fast and convenient charging without cables;39.99;75
